# Generated from https://formulae.brew.sh/api/cask.json
# Updated 2026-09-19; 3165 unique app bundle filenames
# Format: lowercase key<TAB>Homebrew Cask token
0 a.d..app	0-ad
geekbench 7.app	geekbench
geekbench ai.app	geekbench-ai
geektool.app	geektool
geforcenow.app	nvidia-geforce-now
gemini 2.app	gemini
gemini.app	google-gemini
geneious prime.app	geneious-prime
genesis plus.app	genesis-plus
genesys cloud.app	genesys-cloud
genymotion shell.app	genymotion
genymotion.app	genymotion
geoda.app	geoda
geogebra.app	geogebra@5
geolibre desktop.app	geolibre
geomapapp.app	geomap
geotag photos pro 2.app	geotag-photos-pro
geotag.app	geotag
gephi.app	gephi
get api.app	get-api
get backup pro 3.app	get-backup-pro
get iplayer automator.app	get-iplayer-automator
gfxcardstatus.app	gfxcardstatus
gg.app	gg
ghost browser.app	ghost-browser
ghost downloader.app	ghost-downloader
ghostex.app	ghostex
ghostpepper.app	ghostpepper
ghostvm.app	ghostvm
gifox.app	gifox
gitahead.app	gitahead
gitbutler.app	gitbutler
gitcomet.app	gitcomet
gitdifferent.app	gitdifferent
gitfiend.app	gitfiend
gitfinder.app	gitfinder
gitfit.app	gitfit
gitfox.app	gitfox
github copilot for xcode.app	github-copilot-for-xcode
github copilot.app	github-copilot-app
gitify.app	gitify
gitlight.app	gitlight
gitup.app	gitup-app
gitx.app	gitx
glean.app	glean
glip.app	ringcentral-classic
glkvm.app	glkvm
gluemotion.app	gluemotion
glyphs 3.app	glyphs
gnome.app	gnome
gns3.app	gns3
gnucash.app	gnucash
go2tv.app	go2tv
go64.app	go64
godot_mono.app	godot-mono
godspeed.app	godspeed
goland.app	goland
gologin.app	gologin
gonhanh.app	gonhanh
goodsync.app	goodsync
google ads editor.app	google-ads-editor
google analytics opt out.app	google-analytics-opt-out
google chrome beta.app	google-chrome@beta
google chrome canary.app	google-chrome@canary
google chrome dev.app	google-chrome@dev
google chrome.app	google-chrome
google web designer.app	google-web-designer
goose.app	block-goose
gopanda2.app	gopanda
gopher64.app	gopher64
gotiengviet.app	gotiengviet
gotomeeting.app	gotomeeting
goxel.app	goxel
gpgfrontend.app	gpgfrontend
gplates.app	gplates
gqrx.app	gqrx
gram.app	gram
grammarly installer.app	grammarly-desktop
gramps.app	gramps
grandperspective.app	grandperspective
grandtotal.app	grandtotal
granola.app	granola
graphicconverter 12.app	graphicconverter
gray.app	gray
grayjay.app	grayjay
green-go control.app	green-go-control
greenery.app	greenery
greenfoot.app	greenfoot
greensignal.app	greensignal
grid.app	grid
grids.app	grids
gridtracker2.app	gridtracker2
grok bot.app	grok-bot
groove omnidialer.app	groove-omnidialer
grs bluewallet.app	grs-bluewallet
guilded.app	guilded
gyazmail.app	gyazmail
gyroflow.app	gyroflow
gzdoom.app	gzdoom
ha menu.app	ha-menu
halloy.app	halloy
hammerspoon.app	hammerspoon
hamrs pro.app	hamrs-pro
handbrake.app	handbrake-app
handy.app	handy
hapigo.app	hapigo
happ.app	happ
happymac.app	happymac
harper.app	harper-desktop
harvest.app	harvest
hazel.app	hazel
hazeover.app	hazeover
hbuilderx.app	hbuilderx
hdfview.app	hdfview
headlamp.app	headlamp
headroom.app	headroom
headset.app	headset
heaven.app	heaven
hedy.app	hedy
helio.app	helio
helium.app	helium-browser
helo.app	helo
helpwire operator.app	helpwire-operator
heptabase.app	heptabase
herd.app	herd
hermes.app	hermes-desktop
heroic.app	heroic
hex fiend.app	hex-fiend
hex.app	kitlangton-hex
hey.app	hey-desktop
heynote.app	heynote
hidden bar.app	hiddenbar
hides.app	hides
hidock.app	hidock
highlight.app	highlight-ai
hightop.app	hightop
historyhound.app	historyhound
hive.app	hive-app
holavpn2e.app	holavpn
home assistant.app	home-assistant
homerow.app	homerow
honto.app	honto
hookmark.app	hookmark
hop.app	hop
hopper disassembler.app	hopper-disassembler
hoptodesk.app	hoptodesk
horos.app	horos
hot.app	hot
houdahspot.app	houdahspot
hovrly.app	hovrly
hp easy admin.app	hp-easy-admin
hp easy start.app	hp-easy-start
hstong.app	vbrokers
hstracker.app	hstracker
http toolkit.app	http-toolkit
httpie.app	httpie-desktop
hubstaff.app	hubstaff
huggingchat.app	huggingchat
huly.app	huly
hush.app	hush
hype4.app	hype
hyperbackupexplorer.app	hyperbackupexplorer
hyperkey.app	hyperkey
hyperwhisper.app	hyperwhisper
hytale launcher.app	hytale
ia presenter.app	ia-presenter
iaito.app	iaito
ibabel.app	ibabel
ibackup viewer.app	ibackup-viewer
ibettercharge.app	ibettercharge
ibm notifier.app	ibm-notifier
ibored.app	ibored
icab.app	icab
icanhazshortcut.app	icanhazshortcut
icollections.app	icollections
icon composer.app	icon-composer
icon shelf.app	icon-shelf
iconchamp.app	iconchamp
iconchanger.app	iconchanger
iconjar.app	iconjar
iconscout.app	iconscout
iconset.app	iconset
idagio.app	idagio
idevice_pair.app	idevice-pair
iexplorer.app	iexplorer
igv_2.19.8.app	igv-desktop
iina.app	iina
iloader.app	iloader
image2icon.app	image2icon
imageoptim.app	imageoptim
imazing converter.app	imazing-converter
imazing profile editor.app	imazing-profile-editor
imazing.app	imazing
impactor.app	impactor
incident.io.app	incident-io
infinidesk.app	infinidesk
infinity.app	infinity
inform.app	inform
infra.app	infra
inkdrop.app	inkdrop
inkscape.app	inkscape
inky.app	inky
inmusic software center.app	inmusic-software-center
input source pro.app	input-source-pro
input.app	work-louder-input
input0.app	input0
install disk creator.app	install-disk-creator
insync.app	insync
integrity.app	integrity
intellidock.app	intellidock
intellij idea ce.app	intellij-idea-ce
intellij idea oss.app	intellij-idea-oss
internxt drive.app	internxt-drive
intiface central.app	intiface-central
invisor lite.app	invisor-lite
invoker.app	invoker
ioquake3.app	ioquake3
ios app signer.app	ios-app-signer
ip in menu bar.app	ip-in-menu-bar
ipaverse.app	ipaverse
ipfs desktop.app	ipfs-desktop
iplay.app	iplay
ipremoteutility.app	ipremoteutility
ipsecuritas.app	ipsecuritas
iptvnator.app	iptvnator
ipvanish vpn.app	ipvanish-vpn
ireal pro.app	ireal-pro
iris.app	iris
ishare.app	ishare
ishowu instant.app	ishowu-instant
islide.app	islide
istat server.app	istat-server
istatistica core.app	istatistica-core
istherenet.app	istherenet
isubtitle.app	isubtitle
itau.app	itau
itch.app	itch
itermai.app	itermai
itermbrowserplugin.app	itermbrowserplugin
itermcompanion.app	itermcompanion
itk-snap.app	itk-snap
itraffic.app	itraffic
itsycal.app	itsycal
itsypad.app	itsypad
itsytv.app	itsytv
ivacy.app	ivacy
ivideonserver.app	ivideonserver
ivolume.app	ivolume
ivpn.app	ivpn
izip.app	izip
jabref.app	jabref
jaikoz.app	jaikoz
jalview.app	jalview
jami.app	jami
jamie.app	jamie
jamkazam.app	jamkazam
jamovi.app	jamovi
jamulus.app	jamulus
jamulusserver.app	jamulus
jan.app	jan
jasp.app	jasp
jasper.app	jasper-app
jazzup.app	jazzup
jbrk.app	j
jbrowse 2.app	jbrowse
jclasslib bytecode viewer.app	jclasslib-bytecode-viewer
jcon.app	j
jdk mission control.app	jdk-mission-control
jellyfin media player.app	jellyfin-media-player
jellyfin.app	jellyfin
jet pilot.app	jet-pilot
jetbrains gateway.app	jetbrains-gateway
jetbrains space.app	jetbrains-space
jetbrains toolbox.app	jetbrains-toolbox
jettison.app	jettison
jiba.app	jiba
jiggler.app	jiggler
jitsi meet.app	jitsi-meet
jitsi.app	jitsi
jollysfastvnc.app	jollysfastvnc
joplin.app	joplin
josm_25_arm64.app	josm
jottacloud.app	jottacloud
journey.app	journey
jprofiler.app	jprofiler
jqt.app	j
json viewer.app	json-viewer
jt-bridge.app	jt-bridge
jubler.app	jubler
juice.app	juice
juicy.app	juicy
jukebox.app	jukebox
julia nightly.app	julia-app@nightly
julia-1.10.app	julia-app@lts
julia-1.13.app	julia-app
jump desktop.app	jump-desktop
jumpcloud password manager.app	jumpcloud-password-manager
jumpcut.app	jumpcut
jumpshare.app	jumpshare
jupyterlab.app	jupyterlab-app
juxtacode.app	juxtacode
k6 studio.app	k6-studio
k8studio.app	k8studio
kactus.app	kactus
kaku.app	kaku
kameleo.app	kameleo
kando.app	kando
kap.app	kap
karafun.app	karafun
karing.app	karing
katalon studio.app	katalon-studio
kate.app	kate
kde connect.app	kde-connect
kdenlive.app	kdenlive
kdiff3.app	kdiff3
keep it.app	keep-it
keeper password manager.app	keeper-password-manager
keeperdb.app	keeperdb
keepingyouawake.app	keepingyouawake
keet.app	keet
keeweb.app	keeweb
kekaexternalhelper.app	kekaexternalhelper
kextviewr.app	kextviewr
key codes.app	key-codes
keybase.app	keybase
keyboard cleaner.app	keyboard-cleaner
keyboard cowboy.app	keyboard-cowboy
keyboard maestro.app	keyboard-maestro
keyboardcleantool.app	keyboardcleantool
keycastr.app	keycastr
keychron-assistant.app	keychron-assistant
keyclu.app	keyclu
keycombiner.app	keycombiner
keycue.app	keycue
keyguard.app	keyguard
keymanager.app	keymanager
keymapp.app	keymapp
keypad layout.app	keypad-layout
keyscreen.app	keyscreen
keysmith.app	keysmith
keystore explorer.app	keystore-explorer
keyty.app	keyty
kid3.app	kid3
kigb.app	kigb
kilohearts installer.app	kilohearts-installer
kimi.app	kimi
kimis.app	kimis
kindavim.app	kindavim
kiro cli.app	kiro-cli
kiro.app	kiro
kirocrew.app	kirocrew
kiwi for gmail.app	kiwi-for-gmail
kiwix.app	kiwix
kkbox.app	kkbox
kkterm.app	kkterm
klogg.app	klogg
klokki.app	klokki
kmeet.app	kmeet
knime 5.12.0.app	knime
knockknock.app	knockknock
kobo.app	kobo
kodelife.app	kodelife
kodi.app	kodi
koe.app	koe
kogiqa.app	kogiqa
koharu.app	koharu
komet.app	komet
kopiaui.app	kopiaui
kreya.app	kreya
krita.app	krita
ksnip.app	ksnip
kstars.app	kstars
kuaitie.app	kuaitie
kubecontext.app	kubecontext
kubernetic.app	kubernetic
kubeterm.app	kubeterm
kunkun.app	kunkun
label live.app	label-live
labplot.app	labplot
laby launcher.app	labymod
lagrange.app	lagrange
landrop.app	landrop
langdock.app	langdock
langflow .app	langflow
languagetool for desktop.app	languagetool-desktop
lantern.app	lantern
lapce.app	lapce
lark.app	feishu
larksuite.app	lark
laserpecker design space.app	laserpecker-design-space
lasso.app	lasso-app
last window quits.app	last-window-quits
lastpass.app	lastpass
latest.app	latest
latexit.app	latexit
launchbar.app	launchbar
launchcontrol.app	launchcontrol
launchie.app	launchie
launchos.app	launchos
launchpad manager.app	launchpad-manager
lbry.app	lbry
leader key.app	leader-key
leaguedisplays.app	league-displays
leapp.app	leapp
lectrote.app	lectrote
ledger wallet.app	ledger-wallet
leech.app	leech
legcord.app	legcord
lehreroffice.app	lehreroffice
lens.app	lens
letos.app	letos
lexicon.app	lexicon-dj
libation.app	libation
librepcb.app	librepcb
librewolf.app	librewolf
licecap.app	licecap
licensed.app	licensed-app
liclipse.app	liclipse
lidanglesensor.app	lidanglesensor
lifesize.app	lifesize
lightburn.app	lightburn
lightworks.app	lightworks
linear.app	linear
lingon x.app	lingon-x
linguax.app	linguax
linkandroid.app	linkandroid
linphone.app	linphone
linqpad 9.app	linqpad
litecoin-qt.app	litecoin
live home 3d.app	live-home-3d
liviable.app	liviable
llama.app	llama-app
llamachat.app	llamachat
lm studio.app	lm-studio
lo-rain.app	lo-rain
loading.app	loading
loaf.app	loaf
lobehub.app	lobehub
local beta.app	local@beta
local.app	local
localcan.app	localcan
localsend.app	localsend
locationsimulator.app	locationsimulator
lockrattler.app	lockrattler
locu.app	locu
loginputmac3.app	loginputmac
logmein client.app	logmein-client
logos.app	logos
logseq-og.app	logseq-og
logseq.app	logseq
lolgato.app	lolgato
longbridge pro.app	longbridge-pro
longplay.app	longplay
lookaway.app	lookaway
lookin.app	lookin
loom.app	loom
loopback.app	loopback
losslesscut.app	losslesscut
losslessswitcher.app	losslessswitcher
lotus.app	lotus
ltx desktop.app	ltx-desktop
luanti.app	luanti
ludwig.app	ludwig
lulu.app	lulu
lumide.app	lumide
luminance hdr 2.6.0.app	luminance-hdr
luna display.app	luna-display
luna secondary.app	luna-secondary
lunacy.app	lunacy
lunar client.app	lunar-client
lunar.app	lunar
lunarbar.app	lunarbar
lunatask.app	lunatask
luxury yacht.app	luxury-yacht
lycheeslicer.app	lycheeslicer
lyn.app	lyn
lyric fever.app	lyric-fever
lyrics master.app	lyrics-master
lyricsfinder.app	lyricsfinder
lyricsx.app	lyricsx
m32-edit.app	m32-edit
m3unify.app	m3unify
maa.app	maa
mac sai.app	mac-sai
macai.app	macai
macbreakz 5.app	macbreakz
maccy.app	maccy
macdive.app	macdive
macdown 3000.app	macdown-3000
macdroid.app	macdroid
mace.app	mace
macforge.app	macforge
macgamestore.app	macgamestore
macgdbp.app	macgdbp
macgesture.app	macgesture
maciasl.app	maciasl
macintosh.js.app	macintoshjs
macmd viewer.app	macmd-viewer
macmediakeyforwarder.app	macmediakeyforwarder
macos instantview.app	instantview
macpacker.app	macpacker
macparakeet.app	macparakeet
macpass.app	macpass
macpilot.app	macpilot
macpulse.app	macpulse
macrorecorder.app	macrorecorder
macs fan control.app	macs-fan-control
macshot offline.app	macshot-offline
macshot.app	macshot
macsvg.app	macsvg
macsymbolicator.app	macsymbolicator
macsyzones.app	macsyzones
mactools.app	mactools
mactracker.app	mactracker
macupdater.app	macupdater
macusb.app	macusb
macvim.app	macvim-app
macwhisper.app	macwhisper
macwinzipper.app	macwinzipper
macx dvd ripper pro.app	macx-dvd-ripper-pro
macx video converter pro.app	macx-video-converter-pro
macx youtube downloader.app	macx-youtube-downloader
maczip.app	maczip
maestral.app	maestral
maestri.app	maestri
maestro.app	maestro
magicplot.app	magicplot
magicquit.app	magicquit
mail assistant.app	mail-assistant
mailbird.app	mailbird
mailmaster.app	mailmaster
mailplane.app	mailplane
mailspring.app	mailspring
mailsteward.app	mailsteward
maintenance.app	maintenance
makeracam.app	makeracam
maltego.app	maltego
malus.app	malus
mangodisk.app	mangodisk
manico.app	manico
manila.app	manila
manus.app	manus
marginnote 4.app	marginnote
markdown preview.app	markdown-preview
marked.app	marked-app
markedit.app	markedit
markright.app	markright
markviewer.app	markviewer
marsedit.app	marsedit
marta.app	marta
marvel.app	marvel
marvin.app	marvin
masscode.app	masscode
massreplaceit.app	massreplaceit
master pdf editor.app	master-pdf-editor
mate translate.app	mate-translate
mater.app	mater
material maker.app	material-maker
mathcha notebook.app	mathcha-notebook
mathpix snipping tool.app	mathpix-snipping-tool
mattermost.app	mattermost
max.app	cycling74-max
mcpbundler.app	mcpbundler
mcreator.app	mcreator
mdb accdb viewer.app	mdb-accdb-viewer
mdrp.app	mdrp
media center 36.app	media-center
media converter.app	media-converter
mediahuman audio converter.app	mediahuman-audio-converter
mediahuman youtube downloader.app	mediahuman-youtube-downloader
mediainfo.app	mediainfo
mediamate.app	mediamate
mediathekview.app	mediathekview
medibangpaintpro.app	medibangpaintpro
medis.app	medis
meetily.app	meetily
meetingbar.app	meetingbar
meetingrecorder.app	meetingrecorder
meetmic.app	meetmic
megacmd.app	megacmd-app
megasync.app	megasync
meld studio.app	meld-studio
meld.app	meld
mellel 6.app	mellel
melodics.app	melodics
mem.app	mem
memory cleaner 5.app	memory-cleaner
memory meter 3.app	memory-meter-3
memory.app	memory
memoryanalyzer.app	memoryanalyzer
mendeley reference manager.app	mendeley-reference-manager
menu bar splitter.app	menu-bar-splitter
menubar stats.app	menubar-stats
menubarx.app	menubarx
menumeters.app	menumeters
menuwhere.app	menuwhere
meridiem.app	meridiem
merlin project.app	merlin-project
meru.app	meru
mesh.app	mesh
meshlab2025.07.app	meshlab
meta quest developer hub.app	meta-quest-developer-hub
meta.app	meta
metaimage.app	metaimage
metamer.app	metamer
metarename.app	metarename
metashape.app	metashape
metashapepro.app	metashapepro
metavideo.app	metavideo
meteorologist.app	meteorologist
mgba.app	mgba-app
mia for gmail.app	mia-for-gmail
miaoyan.app	miaoyan
micro snitch.app	micro-snitch
micro.blog.app	microblog
microsoft azure storage explorer.app	microsoft-azure-storage-explorer
microsoft edge beta.app	microsoft-edge@beta
microsoft edge canary.app	microsoft-edge@canary
microsoft edge dev.app	microsoft-edge@dev
microsoft edge.app	microsoft-edge
middle.app	middle
middleclick.app	middleclick
midi monitor.app	midi-monitor
midikeys.app	midikeys
miditrail.app	miditrail
midiview.app	midiview
mighty mike.app	mighty-mike
miktex console.app	miktex-console
milanote.app	milanote
mimecast.app	mimecast
mimestream.app	mimestream
mindmac.app	mindmac
mindwtr.app	mindwtr
minecraft-edu.app	minecraft-education
minecraft.app	minecraft
mini vmac.app	mini-vmac
miniprogramstudio.app	tng-digital-mini-program-studio
minisim.app	minisim
minitube.app	minitube
miniwol.app	miniwol
minizincide.app	minizincide
minmaxcal.app	minmaxcal
minstaller.app	minstaller
mints.app	mints
mirai.app	mirai
miro.app	miro
mirror.app	playdate-mirror
mission control plus.app	mission-control-plus
missive.app	missive
mister plimsoll.app	mister-plimsoll
mitti.app	mitti
mixed in key 11.app	mixed-in-key
mixin.app	mixin
mixing station.app	mixing-station
mjolnir.app	mjolnir
mkvtoolnix.app	mkvtoolnix-app
mkvtools.app	mkvtools
mmex.app	mmex
mobirise.app	mobirise
mochi diffusion.app	mochi-diffusion
mochi.app	mochi
mockoon.app	mockoon
mockuuups studio.app	mockuuups-studio
modern csv.app	modern-csv
modrinth app.app	modrinth
mole.app	mole-app
molotov.app	molotov
moment.app	moment
monarch.app	monarch
monero-wallet-gui.app	monero-wallet
monet.app	monet
moneydance.app	moneydance
moneymanager.app	moneymanager
moneymoney.app	moneymoney
mongodb compass beta.app	mongodb-compass@beta
mongodb compass isolated edition.app	mongodb-compass-isolated-edition
mongodb compass readonly.app	mongodb-compass-readonly
mongodb compass.app	mongodb-compass
mongrel.app	mongrel
monitorcontrol.app	monitorcontrol
monkeymotion.app	connectiq
monocle.app	monocle-app
monodraw.app	monodraw
monofocus.app	monofocus
monokle.app	monokle
monolingual.app	monolingual
monologue.app	monologue
moom.app	moom
moonfin.app	moonfin
moonlight.app	moonlight
moose.app	moose
morgen.app	morgen
motion.app	motion
motionik.app	motionik
mountain duck.app	mountain-duck
mountmate.app	mountmate
mounty.app	mounty
mousepose.app	mousepose
moves.app	moves
movie splitter.app	miln-movie-splitter
movist pro.app	movist-pro
mozregression gui.app	mozregression-gui
mp3gain express.app	mp3gain-express
mp3tag.app	mp3tag
mp4tools.app	mp4tools
mps.app	mps
mqtt.fx.app	mqttfx
mqttx.app	mqttx
msgfiler 4.app	msgfiler
msty.app	msty
mstystudio.app	mstystudio
mtmr.app	mtmr
mucommander.app	mucommander
mudlet.app	mudlet
muesli.app	muesli
mujoco.app	mujoco
mullvad browser.app	mullvad-browser
multi.app	multi
multipatch.app	multipatch
multitouch.app	multitouch
multiviewer.app	multiviewer
mumu x.app	mumu-x
mumu.app	mumu
mumuplayer.app	mumuplayer
munkiadmin.app	munkiadmin
mural.app	mural
murgaa random mouse clicker.app	random-mouse-clicker
murus.app	murus
muse.app	muse
museeks.app	museeks
musescore 4.app	musescore
music decoy.app	music-decoy
music miniplayer.app	music-miniplayer
music presence.app	music-presence
music remote.app	music-remote
music widget.app	music-widget
musicbrainz picard.app	musicbrainz-picard
musictube.app	musictube
musiver.app	musiver
muteme-client.app	muteme
muzzle.app	muzzle
mweb pro.app	mweb-pro
mx power gadget.app	mx-power-gadget
mycard.app	mycard
mylio.app	mylio
mymonero.app	mymonero
mysqlworkbench.app	mysqlworkbench
mysteriumdark.app	mysteriumdark
mythic.app	mythic
name mangler.app	name-mangler
namechanger.app	namechanger
nani.app	nani
nanoleaf desktop.app	nanoleaf
nanosaur 2.app	nanosaur2
nanosaur.app	nanosaur
nao.app	nao
nativ.app	nativ
native access.app	native-access
navicat data modeler essentials.app	navicat-data-modeler-essentials
navicat data modeler.app	navicat-data-modeler
navicat for mariadb.app	navicat-for-mariadb
navicat for mysql.app	navicat-for-mysql
navicat for oracle.app	navicat-for-oracle
navicat for postgresql.app	navicat-for-postgresql
navicat for sql server.app	navicat-for-sql-server
navicat for sqlite.app	navicat-for-sqlite
navicat premium lite.app	navicat-premium-lite
navigator.app	navigator
navigraph charts.app	navigraph-charts
navigraph simlink.app	navigraph-simlink
neat.app	neat
neatreader.app	neat-reader
neo4j desktop 2.app	neo4j-desktop
neodisk.app	neodisk
neofinder.app	neofinder
neohtop.app	neohtop
neon vision editor.app	neon-vision-editor
neon.app	cityofzion-neon
neovide.app	neovide-app
nessie.app	nessie-app
nestopia.app	nestopia
neteasemusic.app	neteasemusic
netflix.app	jellybeansoup-netflix
nethlink.app	nethlink
netiquette.app	netiquette
netron.app	netron
netspot.app	netspot
netviews.app	netviews
network radar.app	network-radar
network utility.app	neo-network-utility
nextcloud talk.app	nextcloud-talk
nheko.app	nheko
nifty file lists.app	nifty-file-lists
nifty.app	nifty
niftyman.app	niftyman
nightfall.app	nightfall
nightshade.app	nightshade
nimbalyst.app	nimbalyst
nimble commander.app	nimble-commander
nimblenote.app	nimblenote
nisus thesaurus.app	nisus-thesaurus
nitro pdf pro.app	nitro-pdf-pro
nkoda.app	nkoda
nodebox.app	nodebox
nook.app	nook
nordpass.app	nordpass
nosql workbench.app	nosql-workbench
nosqlbooster for mongodb.app	nosqlbooster-for-mongodb
nostalgiapp.app	nostalgiapp
nota.app	nota
notchi.app	notchi
notchnook.app	notchnook
notebooks.app	notebooks
notepad.exe.app	notepadexe
notes better.app	notes-better
notesnook.app	notesnook
notesollama.app	notesollama
notion calendar.app	notion-calendar
notion mail.app	notion-mail
notion.app	notion
noto.app	noto
notunes.app	notunes
noun project.app	noun-project
nova.app	nova
novabench.app	novabench
now tv player.app	now-tv-player
nozbe.app	nozbe
nrf connect for desktop.app	nrf-connect
nteract.app	nteract
nucleo.app	nucleo
nuclino.app	nuclino
nugget.app	nugget
numi.app	numi
nuphyio.app	nuphyio
nvidia nsight compute.app	nvidia-nsight-compute
nvidia nsight systems.app	nvidia-nsight-systems
nvidia sync.app	nvidia-sync
obscura vpn.app	obscura-vpn
obsidian.app	obsidian
ocenaudio.app	ocenaudio
octarine.app	octarine
october.app	october
offset explorer 4.app	offset-explorer
ok json.app	ok-json
oka unarchiver 2 website.app	oka-unarchiver
ollama.app	ollama-app
ollamac.app	ollamac
omnidisksweeper.app	omnidisksweeper
omnifocus.app	omnifocus
omnigraffle.app	omnigraffle
omnioutliner.app	omnioutliner
omniplan.app	omniplan
omnipresence.app	omnipresence
omniwm.app	omniwm
ondesoft audiobook converter.app	ondesoft-audiobook-converter
one switch.app	one-switch
onecast.app	onecast
onekey.app	onekey
onexrayse.app	onexrayse
onionshare.app	onionshare
onlook.app	onlook
only switch.app	only-switch
onlyoffice.app	onlyoffice
ontime.app	ontime
op.gg.app	opgg
opal composer.app	opal-composer
opal.app	opal-app
opcode.app	opcode
open data editor.app	open-data-editor
open design.app	open-design
open island.app	open-island
open video downloader.app	open-video-downloader
open webui.app	open-webui
open-science.app	open-science
openaudible.app	openaudible
openboard.app	openboard
opencat.app	opencat
openchamber.app	openchamber
openchrom.app	openchrom
openclaw.app	openclaw
opencode.app	opencode-desktop
opencomic.app	opencomic
opendisk.app	opendisk
opendisplay.app	opendisplay
openhuman.app	openhuman
openhv.app	openhv
openin.app	openin
openineditor-lite.app	openineditor-lite
openinterminal-lite.app	openinterminal-lite
openinterminal.app	openinterminal
openlens.app	openlens
openlist-desktop.app	openlist-app
openlogi.app	openlogi
openmtp.app	openmtp
openpencil.app	openpencil
openpht.app	openpht
openrefine.app	openrefine
openrocket.app	openrocket
openscad.app	openscad@snapshot
opensoundmeter.app	opensoundmeter
opensuperwhisper.app	opensuperwhisper
openttd.app	openttd
openusage.app	openusage
openwhispr.app	openwhispr
openwork.app	openwork
opera air.app	opera-air
opera beta.app	opera@beta
opera developer.app	opera@developer
opera gx.app	opera-gx
opera.app	opera
optimage.app	optimage
optimus player.app	optimus-player
oracle.app	cockatrice
oracledatamodeler.app	oracle-data-modeler
orange.app	orange
orbit.app	orbit
orbstack.app	orbstack
orcasheets.app	orcasheets
orchard.app	orchard
origami studio.app	origami-studio
orion.app	orion
orka desktop.app	orka-desktop
osaurus.app	osaurus
oscar20.app	oscar
oscilloscope.app	oscilloscope
ossapp.app	ossapp
ossia score.app	ossia-score
otto matic.app	otto-matic
otty.app	otty
outerbase studio.app	outerbase-studio
outline manager.app	outline-manager
output factory.app	output-factory
overflow 3.app	overflow
overflow.app	protoio-overflow
overlayed.app	overlayed
overt.app	overt
overtone analyzer.app	overtone-analyzer
overview.app	overview
ovice.app	ovice
owlocr.app	owlocr
owocr.app	owocr
p2p.kiwi.app	p2p-kiwi
p4admin.app	p4v
p4merge.app	p4v
p4v.app	p4v
pacifist.app	pacifist
packetproxy.app	packetproxy
packetsender.app	packetsender
padloc.app	padloc
pagico.app	pagico
paintbrush.app	paintbrush
paintcode.app	paintcode
pair.app	nvidia-pair
pairpods.app	pairpods
pale moon.app	pale-moon
paletro.app	paletro
pally.app	pally
palmierpro.app	palmier-pro
pandora.app	pandora
pangolin.app	pangolin
panoply.app	panoply
pap.er.app	paper
paparazzi!.app	paparazzi
paper.app	paper-design
paperpile.app	paperpile
papers.app	papers
paperspace.app	paperspace
paragon camptune.app	paragon-camptune
paraview-6.1.1.app	paraview
pareto security.app	pareto-security
parsehub.app	parsehub
parsify.app	parsify
paseo.app	paseo
passepartout.app	passepartout
paste.app	paste
pastenow.app	pastenow
path finder.app	path-finder
pcoipclient.app	pcoipclient
pcsx2-v2.8.2.app	pcsx2
pd-0.56-5.app	pd
pdf converter master.app	pdf-converter-master
pdf pals.app	pdf-pals
pdf reader pro.app	pdf-reader-pro
pdf squeezer.app	pdf-squeezer
pdf-over.app	pdf-over
pdfelement express.app	pdfelement-express
pdfelement.app	pdfelement
pdfextractor.app	pdfextractor
pdfify.app	pdfify
pdfkey pro.app	pdfkey-pro
pdfsam basic.app	pdfsam-basic
pdl.app	pdl
pearcleaner.app	pearcleaner
pecunia.app	pecunia
penc.app	penc
pencil2d.app	pencil2d
peninsula.app	peninsula
permute 4.app	permute
perplexity.app	perplexity
petdex.app	petdex
petrichor.app	petrichor
pgadmin 4.app	pgadmin4
pgen.app	pgen
phocus.app	phocus
phoenix code.app	phoenix-code
phoenix slides.app	phoenix-slides
phoenix.app	phoenix
phosphene.app	phosphene
photosrevive.app	photosrevive
photostickies.app	photostickies
photosweeper x.app	photosweeper-x
photosync.app	photosync
phpstorm.app	phpstorm
physics 101.app	physics-101
pia.app	pia
pibar.app	pibar
picfindr.app	picfindr
picgo.app	picgo
pichon.app	pichon
piclist.app	piclist
picmal.app	picmal
pictogram.app	pictogram
pictureview.app	pictureview
picview.app	picview
pieces os.app	pieces-os
pieces.app	pieces
piezo.app	piezo
pikpak.app	pikpak
pile.app	pile
pimosa.app	pimosa
pinegrow.app	pinegrow
ping island.app	ping-island
pingnoo.app	pingnoo
pingplotter.app	pingplotter
pinta.app	pinta
pinwheel.app	pinwheel
piphero.app	piphero
pitch.app	pitch
pixcake.app	pixcake
pixelsnap 2.app	pixelsnap
pixieditor.app	pixieditor
pixpin.app	pixpin
plamo翻訳.app	plamo-translate
planet.app	planet
plasticity.app	plasticity
platinum notes 10.app	platinum-notes
plaud.app	plaud
play.app	purei-play
playback.app	epilogue-playback
playcover.app	playcover-community
playonmac.app	playonmac
plex htpc.app	plex-htpc
plex media server.app	plex-media-server
plex.app	plex
plexamp.app	plexamp
plistedit pro.app	plistedit-pro
plover.app	plover
plug.app	plug
pluginval.app	pluginval
plus42 binary.app	plus42-binary
plus42 decimal.app	plus42-decimal
pock.app	pock
pocket bard.app	pocket-bard
pocket casts.app	pocket-casts
podman desktop.app	podman-desktop
podpisuj.app	podpisuj
poe.app	poe
poedit.app	poedit
pokemon tcg live.app	pokemon-tcg-live
